2026-01-13 02:04:26 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:26 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2026-01-13 02:04:26 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2026-01-13 02:04:26 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2026-01-13 02:04:26 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:26 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2026-01-13 02:04:26 status half-configured mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:26 status unpacked mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:26 status half-installed mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:26 status unpacked mawk:amd64 1.3.4.20240123-1build1
2026-01-13 02:04:26 install mount:amd64 <none> 2.39.3-9ubuntu6
2026-01-13 02:04:26 status half-installed mount:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:26 status unpacked mount:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:26 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2026-01-13 02:04:26 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2026-01-13 02:04:26 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2026-01-13 02:04:26 status half-configured perl-base:amd64 5.38.2-3.2build2
2026-01-13 02:04:26 status unpacked perl-base:amd64 5.38.2-3.2build2
2026-01-13 02:04:26 status half-installed perl-base:amd64 5.38.2-3.2build2
2026-01-13 02:04:26 status unpacked perl-base:amd64 5.38.2-3.2build2
2026-01-13 02:04:27 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2026-01-13 02:04:27 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2026-01-13 02:04:27 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2026-01-13 02:04:27 install sed:amd64 <none> 4.9-2build1
2026-01-13 02:04:27 status half-installed sed:amd64 4.9-2build1
2026-01-13 02:04:27 status unpacked sed:amd64 4.9-2build1
2026-01-13 02:04:27 install sensible-utils:all <none> 0.0.22
2026-01-13 02:04:27 status half-installed sensible-utils:all 0.0.22
2026-01-13 02:04:27 status unpacked sensible-utils:all 0.0.22
2026-01-13 02:04:27 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2026-01-13 02:04:27 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2026-01-13 02:04:27 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2026-01-13 02:04:27 install tar:amd64 <none> 1.35+dfsg-3build1
2026-01-13 02:04:27 status half-installed tar:amd64 1.35+dfsg-3build1
2026-01-13 02:04:27 status unpacked tar:amd64 1.35+dfsg-3build1
2026-01-13 02:04:27 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2026-01-13 02:04:27 status half-installed util-linux:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:27 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2026-01-13 02:04:27 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2026-01-13 02:04:27 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
